Nome da Microzona,Carreira,Sentido,Interface,Codigo de Paragem (SIP),Paragens  - Nome,Localização,Destino
Areeiro,705,A,Comboio,00320,Estação Roma-Areeiro,Av. S. João Deus,Estação Roma-Areeiro
Areeiro,705,D,Comboio,00320,Estação Roma-Areeiro,Av. S. João Deus,Estação Oriente (Interface)
Areeiro,705,D,Metro; Autocarro,00317,Areeiro - Av. Alm. Gago Coutinho,Av. Almirante Gago Coutinho,Estação Oriente (Interface)
Areeiro,705,D,-,00313,Av. Alm. Gago Coutinho,Av. Almirante Gago Coutinho,Estação Oriente (Interface)
Gago Coutinho - E.U.A.,705,D,-,07305,Av. Alm. Gago Coutinho / Av. EUA,Av. Almirante Gago Coutinho,Estação Oriente (Interface)
Gago Coutinho - E.U.A.,705,D,-,07307,Qta. Sto. António,Av. Almirante Gago Coutinho,Estação Oriente (Interface)
Av. Rodrigo da Cunha,705,D,-,07401,Av. Alm. Gago Coutinho / Av. D. Rodrigo Cunha,Av. Almirante Gago Coutinho,Estação Oriente (Interface)
Av. Rodrigo da Cunha,705,D,-,07507,Qta. Narigão,Av. Almirante Gago Coutinho,Estação Oriente (Interface)
Rot. Aeroporto,705,D,-,07511,Pç. Aeroporto,Av. Almirante Gago Coutinho,Estação Oriente (Interface)
Aeroporto,705,D,Metro; Aeroporto,07601,Aeroporto,Av. Comunidades Portuguesas,Estação Oriente (Interface)
Aeroporto,705,D,Aeroporto,07603,Av. Berlim (Aeroporto),Av. Berlim,Estação Oriente (Interface)
Aeroporto,705,D,Aeroporto,07605,R. C (Aeroporto),Av. C Aeroporto,Estação Oriente (Interface)
Aeroporto,705,D,-,07607,Geofísica,Av. C Aeroporto,Estação Oriente (Interface)
Aeroporto,705,D,-,07611,Externato Champagnat,Av. C Aeroporto,Estação Oriente (Interface)
Aeroporto,705,D,-,07609,Gasolineiras,Av. C Aeroporto,Estação Oriente (Interface)
Prior Velho,705,D,-,16302,Rot. Encarnação,Av. Dr. Alfredo Bensaúde,Estação Oriente (Interface)
Portela,705,D,-,12620,RALIS,Av. Dr. Alfredo Bensaúde,Estação Oriente (Interface)
Encarnação,705,D,-,12604,Qta. Morgado,R. Vice Almirante Augusto Castro Guedes,Estação Oriente (Interface)
Olivais Norte,705,D,-,12306,R. Alf. Barrilaro Ruas,R. Barrilaro Ruas,Estação Oriente (Interface)
Olivais Norte,705,D,Metro,12308,R. Capitão-Ten. Oliveira Carmo,R. Barrilaro Ruas,Estação Oriente (Interface)
Olivais Norte,705,D,-,12301,Olivais Norte,R. Furriel João Nunes Redondo,Estação Oriente (Interface)
Qta. Laranjeiras,705,D,-,07812,Pç. José Queirós,Pç. José Queirós,Estação Oriente (Interface)
Qta. Laranjeiras,705,D,Metro; Autocarro,07910,Moscavide - R. João Pinto Ribeiro,R. João Pinto Ribeiro,Estação Oriente (Interface)
Parque Nações,705,D,-,07824,Av. Boa Esperança,Av. D. João II,Estação Oriente (Interface)
Parque Nações,705,D,-,07822,Av. D. João II,Av. D. João II,Estação Oriente (Interface)
Estação Oriente,705,D,Metro; Autocarro; Comboio,07825,Estação Oriente,Av. Berlim,Estação Oriente (Interface)
Estação Oriente,705,D,Metro; Autocarro; Comboio,07816,Estação Oriente (Interface),Interface Estação Oriente,Estação Oriente (Interface)
Cais do Sodré,706,A,Metro; Comboio; Barco,03804,Cais Sodré,Cais Sodré,Estação Sta. Apolónia
Cais do Sodré,706,A,Metro; Comboio; Barco,03802,Cais Sodré,Av. 24 Julho,Estação Sta. Apolónia
Conde Barão,706,A,-,07102,Conde Barão - Av. 24 Julho,Av. 24 Julho,Estação Sta. Apolónia
Santos,706,A,Comboio,03926,Santos,Av. 24 Julho,Estação Sta. Apolónia
Santos,706,A,-,03922,Lg. Vitorino Damásio,Lg. Santos,Estação Sta. Apolónia
Conde Barão,706,A,-,07103,Conde Barão - Av. D. Carlos I,Av. D. Carlos I,Estação Sta. Apolónia
S. Bento,706,A,-,06701,Assembleia República,Av. D. Carlos I,Estação Sta. Apolónia
S. Bento,706,A,-,06703,Palácio S. Bento (Jardim),R. S. Bento,Estação Sta. Apolónia
S. Bento,706,A,-,06705,R. S. Bento,R. S. Bento,Estação Sta. Apolónia
Rato,706,A,-,06817,R. S. Bento / R. Arco,R. S. Bento,Estação Sta. Apolónia
Rato,706,A,Metro,06811,Rato,R. Alexandre Herculano,Estação Sta. Apolónia
Marquês Pombal,706,A,Metro,01216,Mq. Pombal - R. Alexandre Herculano,R. Alexandre Herculano,Estação Sta. Apolónia
Marquês Pombal,706,A,-,01218,R. Sta. Marta,R. Conde Redondo,Estação Sta. Apolónia
Conde Redondo,706,A,-,06609,R. Conde Redondo,R. Conde Redondo,Estação Sta. Apolónia
Gomes Freire,706,A,-,06906,Hosp. D. Estefânia,R. Joaquim Bonifácio,Estação Sta. Apolónia
Anjos,706,A,-,00615,R. José Estêvão,R. Jacinta Marto,Estação Sta. Apolónia
Anjos,706,A,-,00611,R. Passos Manuel,R. Passos Manuel,Estação Sta. Apolónia
Estefânia,706,A,-,06504,Jardim Constantino,R. Passos Manuel,Estação Sta. Apolónia
P. Chile,706,A,-,00511,R. Pascoal Melo,R. Pascoal Melo,Estação Sta. Apolónia
P. Chile,706,A,Metro,00505,Pç. Chile / Av. Almirante Reis,Av. Almirante Reis,Estação Sta. Apolónia
P. Chile,706,A,Metro,00504,Pç. Chile,R. Morais Soares,Estação Sta. Apolónia
P. Chile,706,A,-,00502,R. Morais Soares,R. Morais Soares,Estação Sta. Apolónia
Paiva Couceiro,706,A,-,07014,Pç. Paiva Couceiro,Pç. Paiva Couceiro,Estação Sta. Apolónia
Alto S. João,706,A,-,11706,Vale Escuro,Av. Mouzinho Albuquerque,Estação Sta. Apolónia
Alto S. João,706,A,-,11708,R. Castelo Branco Saraiva,Av. Mouzinho Albuquerque,Estação Sta. Apolónia
Av. Afonso III,706,A,-,09820,Qta. Peixinhos,Av. Mouzinho Albuquerque,Estação Sta. Apolónia
Av. Afonso III,706,A,-,09823,Esc. Patricio Prazeres,Av. Mouzinho Albuquerque,Estação Sta. Apolónia
Av. Afonso III,706,A,-,09825,Cç. Cruz Pedra,Av. Mouzinho Albuquerque,Estação Sta. Apolónia
Sta. Apolónia,706,A,-,02128,Estação Sta. Apolónia (Mercadorias),Av. Infante D. Henrique,Estação Sta. Apolónia
Sta. Apolónia,706,A,Metro; Comboio,02133,Estação Sta. Apolónia,Av. Infante D. Henrique,Estação Sta. Apolónia
Sta. Apolónia,706,D,Metro; Comboio,02133,Estação Sta. Apolónia,Av. Infante D. Henrique,Cais Sodré
Sta. Apolónia,706,D,Metro; Comboio,02101,Estação Sta. Apolónia,Lg. Caminhos Ferro,Cais Sodré
Sta. Apolónia,706,D,-,02103,R. Bica Sapato,R. Bica Sapato,Cais Sodré
Sta. Apolónia,706,D,-,02131,Cç. Sta. Apolónia,Cç. Sta. Apolónia,Cais Sodré
Av. Afonso III,706,D,-,09824,Cç. Cruz Pedra,Av. Mouzinho Albuquerque,Cais Sodré
Av. Afonso III,706,D,-,09819,Esc. Patricio Prazeres,Av. Mouzinho Albuquerque,Cais Sodré
Av. Afonso III,706,D,-,09821,Qta. Peixinhos,Av. Mouzinho Albuquerque,Cais Sodré
Alto S. João,706,D,-,11707,R. Castelo Branco Saraiva,Av. Mouzinho Albuquerque,Cais Sodré
Alto S. João,706,D,-,11705,Vale Escuro,Av. Mouzinho Albuquerque,Cais Sodré
Paiva Couceiro,706,D,-,07015,Pç. Paiva Couceiro,Av. Mouzinho Albuquerque,Cais Sodré
Paiva Couceiro,706,D,-,07011,Pç. Paiva Couceiro / R. Morais Soares,R. Morais Soares,Cais Sodré
P. Chile,706,D,-,00501,R. Morais Soares,R. Morais Soares,Cais Sodré
P. Chile,706,D,Metro,00503,Pç. Chile,R. Morais Soares,Cais Sodré
P. Chile,706,D,Metro,00506,Pç. Chile / Av. Almirante Reis,Av. Almirante Reis,Cais Sodré
P. Chile,706,D,-,00510,R. Pascoal Melo,R. Pascoal Melo,Cais Sodré
Estefânia,706,D,-,06503,Jardim Constantino,R. José Estevão,Cais Sodré
Anjos,706,D,-,00613,R. José Estêvão,R. José Estevão,Cais Sodré
Gomes Freire,706,D,-,06905,Hosp. D. Estefânia,R. Jacinta Marto,Cais Sodré
Gomes Freire,706,D,-,06608,Gomes Freire - R. Joaquim Bonifácio,R. Conde Redondo,Cais Sodré
Conde Redondo,706,D,-,06610,R. Conde Redondo,R. Conde Redondo,Cais Sodré
Marquês Pombal,706,D,-,01217,R. Sta. Marta,R. Conde Redondo,Cais Sodré
Marquês Pombal,706,D,Metro,01211,Mq. Pombal - R. Alexandre Herculano,R. Alexandre Herculano,Cais Sodré
Rato,706,D,-,06820,R. Braamcamp,R. Alexandre Herculano,Cais Sodré
Rato,706,D,Metro,06810,Rato,Lg. Rato,Cais Sodré
Rato,706,D,-,06818,R. S. Bento / R. Arco,R. S. Bento,Cais Sodré
S. Bento,706,D,-,06706,R. S. Bento,R. S. Bento,Cais Sodré
S. Bento,706,D,-,06704,Palácio S. Bento (Jardim),R. S. Bento,Cais Sodré
S. Bento,706,D,-,06702,Assembleia República,Av. D. Carlos I,Cais Sodré
Conde Barão,706,D,-,07104,Conde Barão - Av. D. Carlos I,Av. D. Carlos I,Cais Sodré
Santos,706,D,-,03925,Lg. Vitorino Damásio,Lg. Santos,Cais Sodré
Santos,706,D,Comboio,03927,Santos,Av. 24 Julho,Cais Sodré
Conde Barão,706,D,-,07101,Conde Barão - Av. 24 Julho,Av. 24 Julho,Cais Sodré
Cais do Sodré,706,D,Metro; Comboio; Barco,03803,Cais Sodré,Av. 24 Julho,Cais Sodré
Cais do Sodré,706,D,Metro; Comboio; Barco,03804,Cais Sodré,Cais Sodré,Cais Sodré
Socorro,708,A,Metro,00807,Martim Moniz,Lg. Martim Moniz,Parque Nações Norte
Socorro,708,A,Metro,00818,Martim Moniz,Lg. Martim Moniz,Parque Nações Norte
Socorro,708,A,-,00803,R. Palma,R. Palma,Parque Nações Norte
Intendente,708,A,Metro,00701,Igreja Anjos,Av. Almirante Reis,Parque Nações Norte
Anjos,708,A,Metro,00607,Av. Almirante Reis / R. Angola,Av. Almirante Reis,Parque Nações Norte
Anjos,708,A,Metro,00609,Av. Almirante Reis / R. Marques Silva,Av. Almirante Reis,Parque Nações Norte
P. Chile,708,A,Metro,00505,Pç. Chile / Av. Almirante Reis,Av. Almirante Reis,Parque Nações Norte
Alameda,708,A,Metro,00413,Alameda D. A. Henriques,Av. Almirante Reis,Parque Nações Norte
Alameda,708,A,-,00411,Pç. João Rio,Av. Almirante Reis,Parque Nações Norte
Areeiro,708,A,Metro; Autocarro,00317,Areeiro - Av. Alm. Gago Coutinho,Av. Almirante Gago Coutinho,Parque Nações Norte
Areeiro,708,A,-,00313,Av. Alm. Gago Coutinho,Av. Almirante Gago Coutinho,Parque Nações Norte
Gago Coutinho - E.U.A.,708,A,-,07305,Av. Alm. Gago Coutinho / Av. EUA,Av. Almirante Gago Coutinho,Parque Nações Norte
Gago Coutinho - E.U.A.,708,A,-,07307,Qta. Sto. António,Av. Almirante Gago Coutinho,Parque Nações Norte
Av. Rodrigo da Cunha,708,A,-,07401,Av. Alm. Gago Coutinho / Av. D. Rodrigo Cunha,Av. Almirante Gago Coutinho,Parque Nações Norte
Av. Rodrigo da Cunha,708,A,-,07507,Qta. Narigão,Av. Almirante Gago Coutinho,Parque Nações Norte
Rot. Aeroporto,708,A,-,07505,Pç. Aeroporto,Av. Almirante Gago Coutinho,Parque Nações Norte
Rot. Aeroporto,708,A,-,07509,Av. Mar. Gomes Costa (Qta. Teresinhas),Av. Marechal Gomes Costa,Parque Nações Norte
Olivais Sul,708,A,-,08407,Av. Mar. Gomes Costa (Poço Cortes),Av. Marechal Gomes Costa,Parque Nações Norte
Olivais Sul,708,A,-,08409,Cabo Ruivo - Av. Mar. Gomes Costa,Av. Marechal Gomes Costa,Parque Nações Norte
Olivais Sul,708,A,Metro,08414,R. Cidade Bissau (Metro),R. Cidade Bissau,Parque Nações Norte
Olivais Sul,708,A,-,08419,C. Comercial Olivais - R. Cidade Bissau,R. Cidade Bissau,Parque Nações Norte
Olivais Sul,708,A,-,08443,R. Cidade Novo Redondo,R. Cidade Novo Redondo,Parque Nações Norte
Olivais,708,A,-,07722,R. Cidade Benguela,R. Cidade Benguela,Parque Nações Norte
Olivais,708,A,-,07724,R. Cidade Benguela (Mercado),R. Cidade Benguela,Parque Nações Norte
Olivais,708,A,-,07717,Esc. Sec. Olivais,Av. Cidade Luanda,Parque Nações Norte
Olivais,708,A,-,07715,Av. Berlim,Av. Cidade Luanda,Parque Nações Norte
Olivais,708,A,-,07711,Av. Berlim / Tv. Courelas,Av. Berlim,Parque Nações Norte
Estação Oriente,708,A,Metro; Autocarro; Comboio,07805,Estação Oriente,Av. Ìndico,Parque Nações Norte
Parque Nações,708,A,-,07821,Av. D. João II,Av. D. João II,Parque Nações Norte
Parque Nações,708,A,-,07823,Av. Boa Esperança,Av. D. João II,Parque Nações Norte
Parque Nações,708,A,-,78101,Cais Olival,Al. Oceanos,Parque Nações Norte
Parque Nações Norte,708,A,-,79101,Jardim Jacarandás,Al. Oceanos,Parque Nações Norte
Parque Nações Norte,708,A,-,79103,Rot. Oliveiras,Al. Oceanos,Parque Nações Norte
Parque Nações Norte,708,A,-,79105,Av. Peregrinação,Av. Peregrinação,Parque Nações Norte
Parque Nações Norte,708,A,-,79107,Rossio de Levante,Passeio Mastros,Parque Nações Norte
Parque Nações Norte,708,A,-,79117,Passeio Tejo,Passeio Herois do Mar,Parque Nações Norte
Parque Nações Norte,708,A,-,79119,Passeio Heróis Mar,Passeio Herois do Mar,Parque Nações Norte
Parque Nações Norte,708,A,-,79123,R. Chen He,R. Chen He,Parque Nações Norte
Parque Nações Norte,708,A,-,79121,Via Oriente,Via Oriente,Parque Nações Norte
Parque Nações Norte,708,A,Autocarro,79122,Parque Nações Norte,Passeio Herois do Mar,Parque Nações Norte
Parque Nações Norte,708,D,-,79109,Parque Nações Norte,Passeio Herois do Mar,Martim Moniz
Parque Nações Norte,708,D,-,79120,Via Oriente,Via Oriente,Martim Moniz
Parque Nações Norte,708,D,-,79118,R. Chen He,R. Chen He,Martim Moniz
Parque Nações Norte,708,D,-,79116,Passeio Tejo,Passeio Herois do Mar,Martim Moniz
Parque Nações Norte,708,D,-,79108,Rossio de Levante,Passeio Mastros,Martim Moniz
Parque Nações Norte,708,D,-,79106,Av. Peregrinação,Av. Peregrinação,Martim Moniz
Parque Nações Norte,708,D,-,79104,Rot. Oliveiras,Al. Oceanos,Martim Moniz
Parque Nações Norte,708,D,-,79102,Jardim Jacarandás,Al. Oceanos,Martim Moniz
Parque Nações,708,D,-,78102,Cais Olival,Al. Oceanos,Martim Moniz
Parque Nações,708,D,-,07824,Av. Boa Esperança,Av. D. João II,Martim Moniz
Parque Nações,708,D,-,07822,Av. D. João II,Av. D. João II,Martim Moniz
Estação Oriente,708,D,Metro; Autocarro; Comboio,07825,Estação Oriente,Av. Berlim,Martim Moniz
Olivais,708,D,-,07712,Av. Berlim / Tv. Courelas,Av. Berlim,Martim Moniz
Olivais,708,D,-,07728,Av. Berlim (Pç. Baden Powell),Av. Berlim,Martim Moniz
Olivais,708,D,-,07719,Av. Berlim,Av. Cidade Luanda,Martim Moniz
Olivais,708,D,-,07718,Esc. Sec. Olivais,Av. Cidade Luanda,Martim Moniz
Olivais,708,D,-,07725,R. Cidade Benguela (Mercado),R. Cidade Benguela,Martim Moniz
Olivais,708,D,-,07723,R. Cidade Benguela,R. Cidade Benguela,Martim Moniz
Olivais Sul,708,D,-,08438,R. Cidade Novo Redondo,R. Cidade Novo Redondo,Martim Moniz
Olivais Sul,708,D,-,08433,Olivais (Centro Cívico),R. Cidade Bolama,Martim Moniz
Olivais Sul,708,D,-,08435,C. Comercial Olivais,R. Cidade Bolama,Martim Moniz
Olivais Sul,708,D,-,08413,R. Cidade Bissau (Metro),R. Cidade Bissau,Martim Moniz
Olivais Sul,708,D,-,08406,Cabo Ruivo - Av. Mar. Gomes Costa,Av. Marechal Gomes Costa,Martim Moniz
Olivais Sul,708,D,-,08408,Av. Mar. Gomes Costa (Poço Cortes),Av. Marechal Gomes Costa,Martim Moniz
Rot. Aeroporto,708,D,-,07504,Av. Mar. Gomes Costa (Qta. Teresinhas),Av. Marechal Gomes Costa,Martim Moniz
Rot. Aeroporto,708,D,-,07514,Pç. Aeroporto,Av. Almirante Gago Coutinho,Martim Moniz
Av. Rodrigo da Cunha,708,D,-,07512,Qta. Narigão,Av. Almirante Gago Coutinho,Martim Moniz
Av. Rodrigo da Cunha,708,D,-,07413,Av. Alm. Gago Coutinho / Av. D. Rodrigo Cunha,Av. Almirante Gago Coutinho,Martim Moniz
Gago Coutinho - E.U.A.,708,D,-,07304,Qta. Sto. António,Av. Almirante Gago Coutinho,Martim Moniz
Gago Coutinho - E.U.A.,708,D,-,07308,Av. Alm. Gago Coutinho / Av. EUA,Av. Almirante Gago Coutinho,Martim Moniz
Areeiro,708,D,-,00310,Av. Alm. Gago Coutinho,Av. Almirante Gago Coutinho,Martim Moniz
Areeiro,708,D,Metro; Autocarro,00308,Areeiro - Av. Alm. Gago Coutinho,Av. Almirante Gago Coutinho,Martim Moniz
Alameda,708,D,-,00404,Pç. João Rio,Av. Almirante Reis,Martim Moniz
Alameda,708,D,Metro,00402,Alameda D. A. Henriques,Av. Almirante Reis,Martim Moniz
P. Chile,708,D,Metro,00506,Pç. Chile / Av. Almirante Reis,Av. Almirante Reis,Martim Moniz
Anjos,708,D,Metro,00610,Av. Almirante Reis / R. Marques Silva,Av. Almirante Reis,Martim Moniz
Anjos,708,D,Metro,00608,Av. Almirante Reis / R. Angola,Av. Almirante Reis,Martim Moniz
Intendente,708,D,Metro,00702,Igreja Anjos,Av. Almirante Reis,Martim Moniz
Socorro,708,D,-,00804,R. Palma,R. Palma,Martim Moniz
Socorro,708,D,Metro,00807,Martim Moniz,Lg. Martim Moniz,Martim Moniz
Restauradores,709,A,Metro; Comboio,01002,Restauradores,Pç. Restauradores,Campo Ourique
Restauradores,709,A,Metro; Comboio,01003,Restauradores,Pç. Restauradores,Campo Ourique
Avenida,709,A,Metro,01103,Av. Liberdade,Av. Liberdade,Campo Ourique
Marquês Pombal,709,A,Metro,01211,Mq. Pombal - R. Alexandre Herculano,R. Alexandre Herculano,Campo Ourique
Rato,709,A,-,06820,R. Braamcamp,R. Alexandre Herculano,Campo Ourique
Rato,709,A,Metro,06810,Rato,Lg. Rato,Campo Ourique
Rato,709,A,-,06802,Av. Pedro Álvares Cabral,Av. Pedro Álvares Cabral,Campo Ourique
Estrela,709,A,-,08104,Jardim Estrela,R. S. Jorge,Campo Ourique
Estrela,709,A,-,08110,Estrela - R. Domingos Sequeira,R. Domingos Sequeira,Campo Ourique
Campo de Ourique,709,A,-,08002,R. Saraiva Carvalho,R. Saraiva Carvalho,Campo Ourique
Campo de Ourique,709,A,-,08018,Igreja Sto. Condestável,R. Saraiva Carvalho,Campo Ourique
Campo de Ourique,709,A,-,08029,Campo Ourique (Prazeres),Pç. S. João Bosco,Campo Ourique
Campo de Ourique,709,D,-,08029,Campo Ourique (Prazeres),Pç. S. João Bosco,Restauradores
Campo de Ourique,709,D,-,08019,Igreja Sto. Condestável,R. Saraiva Carvalho,Restauradores
Campo de Ourique,709,D,-,08001,R. Saraiva Carvalho,R. Saraiva Carvalho,Restauradores
Estrela,709,D,-,08105,Estrela - R. Domingos Sequeira,R. Estrela,Restauradores
Estrela,709,D,-,08103,Jardim Estrela,R. S. Jorge,Restauradores
Rato,709,D,-,06803,Av. Pedro Álvares Cabral,Av. Pedro Álvares Cabral,Restauradores
Rato,709,D,Metro,06811,Rato,R. Alexandre Herculano,Restauradores
Marquês Pombal,709,D,Metro,01216,Mq. Pombal - R. Alexandre Herculano,R. Alexandre Herculano,Restauradores
Avenida,709,D,Metro,01102,Av. Liberdade,Av. Liberdade,Restauradores
Restauradores,709,D,Metro; Comboio,01002,Restauradores,Pç. Restauradores,Restauradores
T. Paço,711,A,Metro; Barco,04509,Terreiro do Paço,Pç. Comércio,Alto Damaia
R. Conceição,711,A,-,05518,R. Prata,R. Prata,Alto Damaia
Rossio,711,A,Metro,00919,Rossio,Pç. D. Pedro IV,Alto Damaia
Restauradores,711,A,Metro; Comboio,01003,Restauradores,Pç. Restauradores,Alto Damaia
Avenida,711,A,Metro,01103,Av. Liberdade,Av. Liberdade,Alto Damaia
Marquês Pombal,711,A,Metro; Autocarro,01209,Mq. Pombal - R. Joaquim A. Aguiar,R. Joaquim António Aguiar,Alto Damaia
Amoreiras,711,A,Autocarro,01223,R. Joaquim António Aguiar,R. Joaquim António Aguiar,Alto Damaia
Amoreiras,711,A,Autocarro,08501,Amoreiras,Av. Eng. Duarte Pacheco,Alto Damaia
Duarte Pacheco,711,A,Autocarro,08607,Viaduto Duarte Pacheco,Av. Eng. Duarte Pacheco,Alto Damaia
Monsanto,711,A,-,08701,Cruz Oliveiras,Av. Tenente Martins,Alto Damaia
Monsanto,711,A,-,08703,Av. Tenente Martins,Av. Tenente Martins,Alto Damaia
Monsanto,711,A,-,08705,Monsanto,Av. Tenente Martins,Alto Damaia
Monsanto,711,A,-,08715,Tribunal Monsanto,Estrada Forte de Monsanto,Alto Damaia
Monsanto,711,A,-,08717,B.º Monsanto,Estrada Forte de Monsanto,Alto Damaia
Monsanto,711,A,-,08707,Luneta Quartéis,Estrada Forte de Monsanto,Alto Damaia
Pina Manique,711,A,-,08827,Estádio Pina Manique,R. António Pinho,Alto Damaia
Pina Manique,711,A,-,08829,B.º Boavista,R. Rainha D. Catarina,Alto Damaia
Pina Manique,711,A,-,08835,Estr. Buraca,Estrada Buraca,Alto Damaia
Buraca,711,A,-,08811,Buraca,R. Issan Sartawi,Alto Damaia
Bº Sta. Cruz,711,A,-,02908,R. Casquilha,R. Casquilha,Alto Damaia
Bº Sta. Cruz,711,A,-,02909,B.º Sta. Cruz,R. Casquilha,Alto Damaia
Bº Sta. Cruz,711,A,-,02904,Benfica (Mercado),R. Olivério Serpa,Alto Damaia
Portas Benfica,711,A,-,11009,Estr. Benfica (Mercado),Estrada Benfica,Alto Damaia
Portas Benfica,711,A,Autocarro,11006,Portas Benfica,Portas Benfica,Alto Damaia
Damaia Baixo,711,A,-,03101,Damaia - R. D. Francisco Almeida,R. D. Maria II,Alto Damaia
Damaia Baixo,711,A,Autocarro; Comboio,03007,Estação Damaia,Av. D. Pedro V,Alto Damaia
Damaia Cima,711,A,Autocarro; Comboio,03014,Pç. Águas Livres,Pç. Águas Livres,Alto Damaia
Damaia Cima,711,A,-,03012,Damaia - Av. D. João V,"Av. D. João V, Damaia",Alto Damaia
Damaia Cima,711,A,-,03020,R. Bernardino Machado,R. Bernardino Machado,Alto Damaia
Damaia Cima,711,A,-,03021,Alto Damaia,R. Teófilo Braga,Alto Damaia
Damaia Cima,711,D,-,03021,Alto Damaia,R. Teófilo Braga,Terreiro Paço
Damaia Cima,711,D,-,03019,R. Bernardino Machado,R. Bernardino Machado,Terreiro Paço
Damaia Cima,711,D,-,03013,Damaia - Av. D. João V,"Av. D. João V, Damaia",Terreiro Paço
Damaia Cima,711,D,Autocarro; Comboio,03015,Pç. Águas Livres,Pç. Águas Livres,Terreiro Paço
Damaia Baixo,711,D,Autocarro; Comboio,03018,Estação Damaia,Av. D. Pedro V,Terreiro Paço
Damaia Baixo,711,D,-,03003,Damaia - R. D. Francisco Almeida,R. D. Francisco Almeida,Terreiro Paço
Portas Benfica,711,D,Autocarro,11001,Portas Benfica,Portas Benfica,Terreiro Paço
Bº Sta. Cruz,711,D,-,02903,Benfica (Mercado),R. Casquilha,Terreiro Paço
Bº Sta. Cruz,711,D,-,02910,B.º Sta. Cruz,R. Casquilha,Terreiro Paço
Bº Sta. Cruz,711,D,-,02907,R. Casquilha,R. Casquilha,Terreiro Paço
Buraca,711,D,-,08814,Buraca,R. Issan Sartawi,Terreiro Paço
Pina Manique,711,D,-,08836,Estr. Buraca,Estrada Buraca,Terreiro Paço
Pina Manique,711,D,-,08828,B.º Boavista,R. Rainha D. Catarina,Terreiro Paço
Pina Manique,711,D,-,08826,Estádio Pina Manique,R. António Pinho,Terreiro Paço
Monsanto,711,D,-,08708,Luneta Quartéis,Estrada Forte de Monsanto,Terreiro Paço
Monsanto,711,D,-,08718,B.º Monsanto,Estrada Forte de Monsanto,Terreiro Paço
Monsanto,711,D,-,08716,Tribunal Monsanto,Estrada Forte de Monsanto,Terreiro Paço
Monsanto,711,D,-,08706,Monsanto,Av. Tenente Martins,Terreiro Paço
Monsanto,711,D,-,08704,Av. Tenente Martins,Av. Tenente Martins,Terreiro Paço
Monsanto,711,D,-,08702,Cruz Oliveiras,Cruz Oliveiras,Terreiro Paço
Montes Claros,711,D,-,21308,Estr. Alvito / Al. Keil Amaral,Estrada Montes Claros,Terreiro Paço
Montes Claros,711,D,-,21309,Pq. Infantil Alvito,Estrada Alvito,Terreiro Paço
Montes Claros,711,D,-,21310,Estr. Pimenteira (Casa dos Animais),Estrada Pimenteira,Terreiro Paço
Duarte Pacheco,711,D,-,08608,Viaduto Duarte Pacheco,Av. Eng. Duarte Pacheco,Terreiro Paço
Amoreiras,711,D,Autocarro,08502,Amoreiras,Av. Eng. Duarte Pacheco,Terreiro Paço
Amoreiras,711,D,Autocarro,01224,R. Joaquim António Aguiar,R. Joaquim António Aguiar,Terreiro Paço
Marquês Pombal,711,D,Metro; Autocarro,01215,Mq. Pombal - R. Joaquim A. Aguiar,R. Joaquim António Aguiar,Terreiro Paço
Avenida,711,D,Metro,01102,Av. Liberdade,Av. Liberdade,Terreiro Paço
Restauradores,711,D,Metro; Comboio,01006,Restauradores,Pç. Restauradores,Terreiro Paço
Rossio,711,D,Metro; Comboio,00902,Rossio,Pç. D. Pedro IV,Terreiro Paço
R. Conceição,711,D,Metro,05510,R. Ouro,R. Ouro,Terreiro Paço
T. Paço,711,D,Metro; Barco,04509,Terreiro do Paço,Pç. Comércio,Terreiro Paço
Sta. Apolónia,712,A,Metro; Comboio,02115,Estação Sta. Apolónia,Lg. Caminhos Ferro,Alcântara Mar (M.Oriente)
Sta. Apolónia,712,A,-,02119,Museu Militar,Lg. Museu Artilharia,Alcântara Mar (M.Oriente)
Sta. Apolónia,712,A,-,02121,R. Paraíso,R. Paraíso,Alcântara Mar (M.Oriente)
Sta. Apolónia,712,A,-,02123,Campo Sta. Clara,Lg. Dr. Bernardino António Gomes,Alcântara Mar (M.Oriente)
Sta. Apolónia,712,A,-,02105,R. Vale Sto. António,R. Vale St. António,Alcântara Mar (M.Oriente)
Vale Sto. António,712,A,-,09121,R. Leite Vasconcelos,R. Leite Vasconcelos,Alcântara Mar (M.Oriente)
Vale Sto. António,712,A,-,09119,R. Sra. Glória,R. Senhora da Glória,Alcântara Mar (M.Oriente)
Vale Sto. António,712,A,-,09117,R. Cardal Graça,R. Cardal Graça,Alcântara Mar (M.Oriente)
Vale Sto. António,712,A,-,09111,R. Sapadores,R. Sapadores,Alcântara Mar (M.Oriente)
Sapadores,712,A,-,09125,Sapadores,R. Sapadores,Alcântara Mar (M.Oriente)
Intendente,712,A,-,00601,R. Forno Tijolo,R. Forno Tijolo,Alcântara Mar (M.Oriente)
Anjos,712,A,-,00603,Pç. Novas Nações,Pç. Novas Nações,Alcântara Mar (M.Oriente)
Anjos,712,A,Metro,00605,Av. Almirante Reis / R. Febo Moniz,R. Febo Moniz,Alcântara Mar (M.Oriente)
Anjos,712,A,-,00616,R. José Estêvão,R. Jacinta Marto,Alcântara Mar (M.Oriente)
